timestamp,orientation_x,orientation_y,orientation_z,orientation_w,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,connected,arm_synched,device_direction,warmupState,synced,battery_level,rssi,bluetooth_strength,player_hand,swing_type,stroke_type
1,-45.0625,86.4375,25.625,-0.042151633,-0.042151633,0.1137,0.017289184,,,,,,,,,,,,,,
2,3.125,63.4375,30.5,-0.089534796,-0.089534796,0.077925714,0.025211224,,,,,,,,,,,,,,
3,48.8125,22.6875,-3.0625,-0.061832347,-0.061832347,0.065967755,0.055056224,,,,,,,,,,,,,,
4,77.625,-2.125,-27.125,-0.080018367,-0.080018367,0.094467449,0.02869898,,,,,,,,,,,,,,
5,9.1875,-27.5625,-27.375,-0.07274398,-0.07274398,0.086993776,0.031788061,,,,,,,,,,,,,,
6,13.875,-48.9375,-18.3125,-0.072445,-0.072445,0.065569184,0.043945306,,,,,,,,,,,,,,
7,54.9375,-81.875,-1.75,-0.066814796,-0.066814796,0.071996531,0.046336939,,,,,,,,,,,,,,
8,67.1875,-126.75,8.25,-0.065170612,-0.065170612,0.076979082,0.051668163,,,,,,,,,,,,,,
9,58.1875,-175.812,11.8125,-0.053013367,-0.053013367,0.083555918,0.047183878,,,,,,,,,,,,,,
10,35.4375,-202.562,10.5,-0.035026735,-0.035026735,0.081513061,0.044543163,,,,,,,,,,,,,,
11,10,-207.562,6.3125,-0.011160714,-0.011160714,0.072046429,0.033631633,,,,,,,,,,,,,,
12,5,-182.875,-13.3125,0.00483299,0.00483299,0.062978367,0.02556,,,,,,,,,,,,,,
13,17.25,-135.188,-33.25,0.00298948,0.00298948,0.070501837,0.010712245,,,,,,,,,,,,,,
14,23.4375,-94.6875,-54.0625,-0.006626673,-0.006626673,0.085947449,0.004334745,,,,,,,,,,,,,,
15,25.25,-67.875,-75.5625,-0.013851224,-0.013851224,0.091477959,-0.003338245,,,,,,,,,,,,,,
16,27.9375,-74.875,-104.312,-0.033233061,-0.033233061,0.095364286,-0.010562857,,,,,,,,,,,,,,
17,11.875,-102.125,-125.312,-0.048927755,-0.048927755,0.111507143,-0.022919286,,,,,,,,,,,,,,
18,-26.6875,-100.188,-110.312,-0.061932041,-0.061932041,0.108717347,-0.001046316,,,,,,,,,,,,,,
19,19.875,-36.6875,-63.875,-0.036521429,-0.036521429,0.114994898,-0.016093367,,,,,,,,,,,,,,
20,43.1875,53.25,0.8125,-0.029346735,-0.029346735,0.116340816,-0.017438571,,,,,,,,,,,,,,
21,40.3125,103.375,45.8125,0.023467347,0.023467347,0.070352347,0.016242857,,,,,,,,,,,,,,
22,124.625,127.438,3.125,-0.008818959,-0.008818959,0.043148163,0.031289898,,,,,,,,,,,,,,
23,178.938,93.25,15.125,-0.032983878,-0.032983878,0.044393776,0.053461837,,,,,,,,,,,,,,
24,220.312,78.5,39.75,-0.011708776,-0.011708776,0.061732653,0.044991633,,,,,,,,,,,,,,
25,310.562,55.75,109,-0.002192286,-0.002192286,0.193170408,0.019032959,,,,,,,,,,,,,,
26,132.25,-33.4375,153.188,-0.02954602,-0.02954602,0.199,0.044493367,,,,,,,,,,,,,,
27,63.3125,-133.625,162.688,0.005082112,0.005082112,0.088089898,0.108767347,,,,,,,,,,,,,,
