Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-41.625,30.4375,59.9375,-0.045041429,0.098602959,0.045390204,,,
2,-94.75,25.75,49.8125,-0.072245714,0.072644286,0.052664592,,,
3,-78.1875,14.9375,58.125,-0.070202857,0.052365714,0.061583265,,,
4,-33.0625,11.1875,64.9375,-0.06078602,0.048529184,0.05410949,,,
5,-15.5625,6.25,72.3125,-0.061981837,0.058942551,0.048130612,,,
6,-28.0625,5.9375,79.8125,-0.054209184,0.074736939,0.046536224,,,
7,-54.625,11.9375,75.5625,-0.048828163,0.078872347,0.046785306,,,
8,-67.6875,19.9375,67.0625,-0.052664592,0.070153061,0.049475816,,,
9,-62.3125,26.4375,67.125,-0.055355102,0.068508878,0.050322857,,,
10,-58.4375,27.75,65.8125,-0.054956531,0.06990398,0.049824592,,,
11,-61.4375,26.6875,60.9375,-0.054458265,0.070651327,0.049525714,,,
12,-66.5,25.25,55.6875,-0.053910204,0.071348878,0.047383163,,,
13,-70.875,23.0625,47.9375,-0.056700408,0.070402143,0.048529184,,,
14,-72.6875,11.125,35.5,-0.064323571,0.066515816,0.051169898,,,
15,-67.75,-11.125,17.25,-0.06661551,0.056401429,0.048977551,,,
16,-53.4375,-29.25,-3.375,-0.071498367,0.040756531,0.057896224,,,
17,-34.125,-47.3125,-23.875,-0.077178367,0.024613367,0.059988878,,,
18,5.5,-51.625,-36.3125,-0.068957245,0.02301898,0.062579694,,,
19,46.9375,-54.1875,-51.3125,-0.079071633,0.030841429,0.059590204,,,
20,65.125,-46.4375,-55.0625,-0.076630306,0.046087755,0.048379694,,,
21,49.5,-34.5,-73.9375,-0.077477245,0.049276531,0.042350918,,,
22,20.0625,-24.1875,-87.5,-0.077128469,0.045888469,0.047931327,,,
23,5.625,-18.5625,-94.875,-0.070651327,0.049127041,0.052515102,,,
24,-3.0625,-15,-107.625,-0.066117245,0.051867449,0.054358673,,,
