Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,0.8125,-8.0625,-40.1875,-0.0986328,0.20752,1.03125,,,
2,-2.1875,-8.875,-42.1875,-0.0991211,0.184082,1.03418,,,
3,-1.4375,-10.625,-43.5625,-0.124512,0.166504,1.04736,,,
4,3.9375,-4.9375,-45.1875,-0.156738,0.156738,1.09424,,,
5,13,2.875,-46.6875,-0.181152,0.160645,1.1123,,,
6,18.3125,6.8125,-46.375,-0.211426,0.15918,1.11523,,,
7,15.8125,2.6875,-42.5625,-0.228027,0.150391,1.06934,,,
8,5.375,-6.4375,-36.5,-0.230469,0.130371,1.00146,,,
9,-18.875,-8.3125,-30.1875,-0.185547,0.0380859,0.967773,,,
10,-18.125,-7.8125,-29.0625,-0.17041,0.027832,0.988281,,,
11,-9.5625,-7.875,-27.5625,-0.148438,0.0498047,1.00684,,,
12,0.5625,-7.0625,-26.8125,-0.105957,0.0791016,1.00977,,,
13,16.6875,-2.4375,-30.4375,-0.0141602,0.172852,0.961426,,,
14,6.9375,-1.5,-34.1875,-0.00927734,0.197266,0.918945,,,
15,-7.375,-1.875,-35.5,-0.0195312,0.13623,0.914062,,,
16,-8.3125,-2.625,-35.6875,-0.019043,0.0507812,0.90332,,,
17,2.4375,-1.1875,-34.375,-0.015625,0.0317383,0.920898,,,
18,13.9375,-0.5,-31.5625,-0.0249023,0.0673828,0.916016,,,
19,17.375,-0.8125,-28.5,-0.0439453,0.119141,0.907715,,,
20,11.4375,-0.25,-26.375,-0.0415039,0.165039,0.909668,,,
21,1.75,-0.1875,-24.1875,-0.0302734,0.134766,0.911133,,,
22,-1.4375,0.8125,-22.25,-0.0297852,0.10791,0.935547,,,
23,0.5625,1.5,-20.375,-0.0415039,0.118652,0.945312,,,
24,2.625,1.5,-18.5,-0.0634766,0.130371,0.95752,,,
25,4.5625,0.125,-15.9375,-0.0839844,0.112793,0.967285,,,
26,9.1875,-1.3125,-13.1875,-0.101562,0.09375,0.990723,,,
27,13.25,-1.6875,-9.5625,-0.0878906,0.0688477,1,,,
28,17.6875,-1.9375,-7.125,-0.0649414,0.100098,1.04199,,,
29,17.375,-1.9375,-6.5,-0.059082,0.158691,1.05908,,,
30,11.875,-1.3125,-6.3125,-0.0673828,0.172363,1.07324,,,
31,10.1875,-3.0625,-6.4375,-0.0537109,0.162598,1.08398,,,
32,13.4375,-5.1875,-7.5625,-0.0742188,0.174316,1.07373,,,
33,16.0625,-5.3125,-9.0625,-0.118164,0.188477,1.04834,,,
34,16.875,-4.25,-10.6875,-0.128906,0.188477,1.03467,,,
35,18.4375,-0.375,-12.5625,-0.154297,0.217773,1.0293,,,
36,18.4375,4.125,-14.1875,-0.179688,0.283691,1.03613,,,
37,13.0625,3.75,-14.625,-0.199707,0.315918,1.00293,,,
38,3.75,0.4375,-12.5625,-0.195312,0.27832,0.978516,,,
39,-1.375,-4.3125,-9.625,-0.186035,0.23877,0.938477,,,
40,-3,-7.1875,-6.4375,-0.205078,0.215332,0.902832,,,
41,-6.25,-7.8125,-3.75,-0.216309,0.207031,0.904297,,,
42,-6.125,-8.3125,-2.4375,-0.196289,0.212402,0.913574,,,
43,-2.5625,-7.4375,-1.4375,-0.194336,0.246094,0.930664,,,
44,-0.625,-4.75,-1.6875,-0.179688,0.276855,0.944824,,,
45,0.125,-2.25,-3.625,-0.144531,0.294922,0.94873,,,
46,-1.375,-0.8125,-6,-0.113281,0.287598,0.939453,,,
47,-4.6875,-0.5,-8.5625,-0.090332,0.267578,0.935547,,,
48,-6.375,-0.625,-11.375,-0.0854492,0.236328,0.931641,,,
49,-4.9375,-1.625,-13.6875,-0.0942383,0.224121,0.928223,,,
50,-3.8125,-2.5,-15.0625,-0.103516,0.220703,0.929199,,,
51,-1.25,-3.5625,-15.75,-0.105469,0.224121,0.93457,,,
52,1.125,-4.375,-16.3125,-0.104004,0.251953,0.935547,,,
53,0.4375,-4.75,-17.25,-0.106934,0.270508,0.921387,,,
54,-3.8125,-4.875,-18.6875,-0.107422,0.273438,0.913086,,,
55,-8.5,-4.125,-20,-0.101074,0.251953,0.916992,,,
56,-9.8125,-3.25,-21.0625,-0.0888672,0.249023,0.94043,,,
57,-9.6875,-2.875,-22.625,-0.0864258,0.248047,0.937988,,,
58,-9,-3.1875,-24.375,-0.0805664,0.254883,0.93457,,,
59,-9.4375,-4.5625,-26.125,-0.0786133,0.251953,0.950684,,,
60,-8.25,-5.6875,-28.0625,-0.0839844,0.227051,0.948242,,,
61,-6.3125,-6.375,-30.8125,-0.100098,0.245117,0.958008,,,
62,-5.5,-7.375,-32.9375,-0.0996094,0.239746,0.968262,,,
63,-4.3125,-8.3125,-33.4375,-0.0766602,0.22168,0.985352,,,
64,-0.0625,-9.3125,-33.625,-0.0737305,0.226074,0.990723,,,
