Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-18.875,42.3125,8.5,-0.088936939,0.044742551,0.041105306,,,
2,-15.3125,48.4375,3.875,-0.086993776,0.045838673,0.043197959,,,
3,-10.6875,54.9375,-0.8125,-0.084901122,0.046934796,0.043546735,,,
4,-7.6875,64.1875,-6.75,-0.083306735,0.047084286,0.042051939,,,
5,-3,71.1875,-13.75,-0.083805,0.047233776,0.041802857,,,
6,10,97.1875,-67.3125,-0.087392347,0.047831633,0.03422949,,,
7,17.5625,93.875,-84.1875,-0.094019082,0.043197959,0.028748776,,,
8,17.875,88.6875,-91.5625,-0.09785551,0.04289898,0.028150918,,,
9,25.875,85,-98.1875,-0.099101122,0.036820408,0.023616837,,,
10,30.3125,80.1875,-103,-0.101592347,0.032286327,0.022919286,,,
11,34.875,71.6875,-108.562,-0.105179592,0.025011939,0.017289184,,,
12,38.5,62.9375,-107,-0.103884694,0.016292653,0.016192959,,,
13,52.8125,52.0625,-108.938,-0.10652551,0.013751633,0.015794388,,,
14,63.375,39.25,-111,-0.105628571,0.009167735,0.01250602,,,
15,67.375,36.875,-112.188,-0.104930612,0.006377551,0.012107347,,,
16,75.4375,36.5625,-110.062,-0.100645714,-0.003138949,0.010762143,,,
17,82,35.875,-111.812,-0.104531633,-0.002939653,0.009317204,,,
18,86.5625,31.6875,-109,-0.105478571,-0.002341755,0.008868786,,,
19,82.8125,28,-103.25,-0.104183673,-0.004783163,0.010463163,,,
20,83.375,23,-97,-0.101941122,-0.0066765,0.01106102,,,
21,82.5,18.8125,-91.5625,-0.100346735,-0.007772643,0.00767299,,,
22,77.25,14.625,-86.0625,-0.09830398,-0.007374041,0.005929133,,,
23,67.0625,10.1875,-79.0625,-0.094915918,-0.00966598,0.005331235,,,
24,57.6875,6.4375,-69.5,-0.094866122,-0.011908061,0.004235092,,,
25,51.5625,3.25,-57.4375,-0.095115204,-0.013502449,0.004783163,,,
26,48.625,0.25,-44.3125,-0.093670306,-0.013701735,0.005231582,,,
27,48.8125,-2.6875,-33.3125,-0.090780408,-0.014698265,0.003089122,,,
28,43.4375,-4.4375,-24.625,-0.088139796,-0.013103878,0.000797194,,,
29,35.1875,-7.125,-17.4375,-0.08918602,-0.013004184,-0.000398597,,,
30,27.25,-12.25,-9.3125,-0.08978398,-0.015096837,0.000149473,,,
31,23.8125,-16.8125,-0.5,-0.089285714,-0.016442143,0.000996492,,,
32,25.5,-20.0625,6.8125,-0.08779102,-0.017787347,0.00054807,,,
33,28.5625,-20.8125,13,-0.087691327,-0.017388776,-0.00064772,,,
34,26.9375,-23.1875,18.875,-0.090033061,-0.015395816,0.000498246,,,
35,23.1875,-26.75,25,-0.090830306,-0.016591633,0.002590878,,,
36,19.1875,-31.375,30.875,-0.091677347,-0.01818602,0.005131939,,,
37,16.625,-34.875,36.375,-0.091527857,-0.017438571,0.00767299,,,
38,12.5625,-37.3125,41.25,-0.092873061,-0.018435102,0.010064571,,,
39,8.75,-40.5625,46.1875,-0.093919388,-0.019929796,0.01165898,,,
40,5.5,-44,52.0625,-0.096659796,-0.019680714,0.014947347,,,
41,3.5625,-46.875,55.5,-0.100047857,-0.017637959,0.017637959,,,
42,2,-48.75,58.375,-0.101193776,-0.016491939,0.019381735,,,
43,-0.125,-49.4375,59.75,-0.101592347,-0.015694796,0.021872959,,,
44,0.0625,-47.625,59.4375,-0.101044286,-0.012954388,0.026357245,,,
45,-0.4375,-44.1875,58.375,-0.101094184,-0.010811939,0.028748776,,,
46,-0.875,-40.75,57.25,-0.099948163,-0.008171235,0.032286327,,,
47,-1.4375,-37.5,53.9375,-0.101891327,-0.005430888,0.032983878,,,
48,-0.25,-35.25,49.375,-0.106026531,-0.001494735,0.033830918,,,
49,-0.5625,-30.875,43.875,-0.10652551,0.001145969,0.035425306,,,
50,0.75,-22.4375,37.375,-0.104531633,0.002092633,0.036820408,,,
51,5.25,-12.9375,31.0625,-0.100247143,0.001594388,0.036471633,,,
52,10.6875,-3.625,25.5625,-0.096659796,0.002889827,0.037019694,,,
53,14.25,3.25,20.5625,-0.093869592,0.006576847,0.038663878,,,
54,13.9375,9.1875,15.5625,-0.091477959,0.009367031,0.038614082,,,
55,10,13.875,9,-0.088040102,0.011858265,0.039959388,,,
56,3.75,22.125,1.25,-0.085249898,0.013502449,0.038564286,,,
57,-5.375,28.875,-6.6875,-0.084901122,0.015096837,0.037468163,,,
58,-18.0625,33.75,-13.5,-0.086395918,0.016691224,0.035823878,,,
59,-31.875,35.625,-17.8125,-0.088089898,0.015296122,0.035425306,,,
60,-43.0625,34.9375,-20.75,-0.08918602,0.013054082,0.036222449,,,
61,-46.75,33.625,-22.6875,-0.090381837,0.010762143,0.03408,,,
62,-47.375,31.625,-24.1875,-0.094517347,0.010363469,0.032087041,,,
63,-48.75,28.5625,-25.0625,-0.096958673,0.009217551,0.030741837,,,
64,-50.4375,24.625,-24.625,-0.098553061,0.00767299,0.02854949,,,
65,-50.1875,18.6875,-21.75,-0.100845,0.005929133,0.028948061,,,
66,-46.9375,13.375,-17.9375,-0.101442959,0.004235092,0.027553061,,,
67,-41.3125,9.3125,-12.5625,-0.101891327,0.002740357,0.028001429,,,
68,-35.875,4.3125,-6.5,-0.102937755,0.00298948,0.029197245,,,
69,-33.4375,-0.6875,-1.25,-0.10099449,0.004733337,0.028997959,,,
70,-35.25,-3.625,3.25,-0.099748878,0.006277898,0.029047755,,,
71,-40.9375,-6.4375,7.25,-0.099549592,0.009466673,0.029346735,,,
72,-48.9375,-9.625,10.625,-0.099848571,0.013203571,0.029247041,,,
73,-57.0625,-12.1875,12.75,-0.099400102,0.016342449,0.02969551,,,
74,-63.1875,-14.375,12.9375,-0.099350306,0.018833673,0.030044286,,,
75,-69.6875,-15.625,11.1875,-0.099400102,0.021075816,0.027802143,,,
76,-76,-18.0625,9.5625,-0.099649184,0.020926327,0.026656122,,,
77,-81.5,-21,8.5625,-0.099250612,0.019680714,0.025759286,,,
78,-89.4375,-27.625,9.9375,-0.099898367,0.015296122,0.023567041,,,
79,-93.25,-32.4375,11.8125,-0.100944694,0.013950918,0.021324898,,,
80,-96.25,-39,15.875,-0.102439796,0.011409796,0.021673673,,,
81,-95.375,-46.5,20.4375,-0.10199102,0.009167735,0.020228776,,,
82,-91.5,-52.5,25.875,-0.104880612,0.007423867,0.022122143,,,
83,-85.0625,-56.9375,31.125,-0.110561224,0.007324214,0.023567041,,,
84,-76.8125,-60.1875,35.25,-0.116439796,0.007374041,0.027104592,,,
85,-68.0625,-61.5625,38.6875,-0.1135,0.004135439,0.026606327,,,
86,-61.75,-63.4375,45.4375,-0.102339796,0.000249123,0.031937551,,,
87,-59.625,-64.5,55.8125,-0.092972755,-0.000797194,0.03408,,,
88,-65.8125,-66.125,68.5,-0.090282245,-0.00184351,0.038464592,,,
89,-70.25,-69.9375,79,-0.097556633,9.96492E-05,0.043098265,,,
90,-69.6875,-73.125,88,-0.10632551,0.002391582,0.049475816,,,
91,-68.6875,-76.8125,95.8125,-0.111657143,0.007224571,0.054458265,,,
92,-77.6875,-95.9375,108.188,-0.108717347,0.006477204,0.065768469,,,
93,-75.625,-104.688,114.062,-0.101243673,0.004733337,0.066067449,,,
94,-74.5,-109.375,114.438,-0.093670306,0.006128429,0.068010612,,,
95,-70.8125,-114.375,112.688,-0.088388878,0.003886316,0.065569184,,,
96,-67.375,-118.5,110.062,-0.083456224,0.007174745,0.066765,,,
97,-68.0625,-117.062,106.375,-0.078374082,0.011758571,0.070252755,,,
98,-72.1875,-115.562,99.125,-0.074786735,0.013602143,0.073541122,,,
99,-75.0625,-115.625,89,-0.071797245,0.014698265,0.081313776,,,
100,-71.75,-117,74.9375,-0.066167143,0.010612653,0.083555918,,,
101,-60.6875,-114.125,61.4375,-0.060686429,0.006925622,0.082360102,,,
102,-50.5625,-106.375,42.25,-0.053661122,0.0038365,0.083406429,,,
103,-47.5,-103.75,36.9375,-0.04957551,-0.001694041,0.08410398,,,
104,-38.875,-101.812,33.125,-0.044493367,-0.005530531,0.087890612,,,
105,-26.0625,-96.6875,28.4375,-0.038016224,-0.005729827,0.08779102,,,
106,-15,-88.875,24.75,-0.032983878,-0.00582948,0.084303265,,,
107,-9.9375,-83.75,22.6875,-0.029944592,-0.004185265,0.085100408,,,
108,-7.25,-80.0625,20.6875,-0.025958673,-0.001644214,0.086096939,,,
109,-5.6875,-76.5625,17.9375,-0.021872959,-0.000946667,0.085100408,,,
110,-3.125,-71.3125,15.5625,-0.018783878,0.000149473,0.085997245,,,
111,-1.3125,-66.9375,12.6875,-0.017837245,0.002690531,0.08694398,,,
112,-3.0625,-62.9375,8.9375,-0.019830204,0.006178255,0.086894082,,,
113,-8.5625,-59.625,5.25,-0.021225306,0.007822469,0.086545408,,,
114,-14.1875,-55.5,1.375,-0.020876531,0.007872286,0.08963449,,,
115,-14.5625,-52.3125,-2,-0.018235816,0.003338245,0.090481531,,,
116,-7.1875,-50,-5.125,-0.01718949,0.001743857,0.090880102,,,
117,4.5625,-46.625,-4.1875,-0.015844184,-0.000298948,0.090531327,,,
118,14.625,-42.8125,-2.125,-0.014698265,0.003238602,0.090880102,,,
119,19,-40.5625,1.5,-0.0142,0.005879306,0.094218367,,,
120,24.125,-41.25,2.5625,-0.01165898,0.002242112,0.094467449,,,
121,32.75,-39.875,5.1875,-0.007174745,-0.002142459,0.094019082,,,
122,39.125,-35.75,9.0625,-0.003039306,-0.001694041,0.094317959,,,
123,38.8125,-33.5625,13.75,-0.001943163,0.001494735,0.094666735,,,
124,29.9375,-30.5625,18.6875,-0.002939653,0.005729827,0.09785551,,,
125,19.9375,-26.125,22.4375,-0.003437898,0.007971939,0.101393061,,,
126,15.9375,-23.0625,23.0625,-0.003039306,0.009167735,0.103435714,,,
127,16.8125,-19.6875,21.5625,-0.001245612,0.010811939,0.103136735,,,
128,15.75,-14.4375,17.25,-0.000149473,0.014150204,0.102339796,,,
129,10.5625,-10.1875,12.5,-0.000597896,0.016691224,0.101094184,,,
130,2.25,-7.875,7.75,-0.001046316,0.01973051,0.099499796,,,
131,-6.6875,-8.1875,4.5,-0.001594388,0.015844184,0.097955204,,,
132,-11.8125,-8.3125,1.6875,-0.001544561,0.017289184,0.097058367,,,
133,-16.25,-10.0625,-1.625,-0.003089122,0.016143163,0.093520816,,,
134,-20.125,-11.75,-3.625,-0.002889827,0.016143163,0.09262398,,,
135,-21.0625,-12.0625,-5.375,-0.00199298,0.016292653,0.091029592,,,
136,-7.875,-10.375,-9.9375,-0.006178255,0.019082857,0.09202602,,,
137,9.4375,-3.5625,-12,0.000398597,0.019680714,0.097108163,,,
138,16.875,-1.3125,-12.375,0.00368702,0.021225306,0.097905408,,,
139,18.625,-0.0625,-12.25,0.005879306,0.02401551,0.097058367,,,
140,12.5,-0.0625,-12.0625,0.006477204,0.025908776,0.094068878,,,
141,1.4375,0.3125,-12.6875,0.005729827,0.02685551,0.09347102,,,
142,-9.6875,-0.375,-13.1875,0.003985969,0.024613367,0.093371327,,,
143,-13.6875,-2.1875,-12.8125,0.002391582,0.021424592,0.094766429,,,
144,-12.4375,-3.8125,-11.25,0.003437898,0.018983163,0.094666735,,,
145,-8,-8.4375,-9.75,0.005131939,0.024264592,0.093122245,,,
146,-12.3125,-9.5625,-11.375,0.001395092,0.02257051,0.093620408,,,
147,-10.9375,-9.8125,-12.625,-0.002690531,0.019830204,0.095364286,,,
148,-5.5,-9.4375,-12.8125,-0.003786673,0.016691224,0.098951735,,,
149,2.375,-8.875,-13.0625,-0.000498246,0.016192959,0.100097653,,,
150,6.8125,-8.875,-13.8125,0.001544561,0.019082857,0.099400102,,,
151,3.5,-7.8125,-13.8125,0.002042806,0.020477959,0.099449898,,,
152,-1.9375,-7.9375,-15,0.002640704,0.020378265,0.101393061,,,
153,-7.25,-7.5625,-15.4375,0.005331235,0.017239286,0.104531633,,,
154,-8.3125,-5,-16.625,0.008121408,0.0142,0.107372449,,,
155,-5.125,-3.75,-17,0.00852001,0.009915102,0.108966327,,,
156,2.1875,1.5,-17,0.010413367,0.010114398,0.113102041,,,
157,10.875,6.75,-18.9375,0.006975449,0.010413367,0.113152041,,,
158,16.0625,11.5,-19.375,0.006875796,0.01165898,0.115393878,,,
159,19.625,13.875,-21.6875,0.002590878,0.015047041,0.11389898,,,
160,13.625,9.125,-22.4375,-0.002740357,0.014150204,0.107471429,,,
161,2.75,1.625,-20.75,-0.000847018,0.010014745,0.102140816,,,
162,-6.25,-3.3125,-16.5625,0.003388071,0.003288429,0.098901837,,,
163,-7.6875,-5.0625,-11.875,0.005580357,-0.001395092,0.096510306,,,
164,-1.6875,-6.0625,-8.5,0.007374041,0.000199298,0.097506735,,,
165,3.0625,-6.25,-5.25,0.00866948,0.004434388,0.098353776,,,
