timestamp,x,y,z
31121974224,5.625,0,7.375
31121999240,5.6875,0.9375,7.75
31122019365,5.875,1.4375,8.1875
31122035562,5.8125,2,8.9375
31122056860,6.0625,2.6875,9.3125
31122080792,6.6875,3.1875,9.9375
31122095799,6.5625,3.5,10.625
31122133196,6.3125,3.375,10.125
31122139567,5,3.9375,9.375
31122185936,6.0625,4.4375,8.8125
31122186577,7.9375,4.8125,8.5625
31122225160,7.9375,5.0625,8.0625
31122229874,6.6875,4.8125,7.5
31122236839,5.625,4.1875,7.1875
31122270682,5.5625,3.5625,7.375
31122284053,6,3.4375,6.625
31122316683,5.625,2.5625,5.875
31122328991,5.375,0.875,6
31122381984,5.1875,0.375,6
31122382752,4.25,0.125,5.625
31122383725,2.75,-0.5625,4.5625
31122414333,0.5625,-1.75,4.3125
31122419786,0.875,-2.375,4.4375
31122456496,2.75,-4.6875,4.25
31122458781,2.75,-6.875,3.5
31122476946,3.375,-9.625,2.5625
31122508138,5.375,-14.25,0.375
31122517248,9.875,-15.1875,-1.1875
31122539787,15.0625,-16.5625,-4.375
31122562398,18.3125,-18.5625,-8.9375
31122584788,21.3125,-19,-14.6875
31122596706,23.625,-17.25,-21.4375
31122619290,26.9375,-14.3125,-28.125
31122641834,27.625,-9.75,-34.25
31122656902,27.4375,-5.875,-38.875
31122679362,24.1875,-1.0625,-44.9375
31122697149,18.4375,5,-51.9375
31122716807,15.9375,12.5,-57.625
31122739243,13.25,19.625,-61.0625
31122757301,16.8125,26.625,-61
31122784339,20.9375,32.0625,-59.375
31122816398,18.9375,38.75,-56.25
31122818785,7.125,46.4375,-54.5
31122853172,-2.125,55.25,-54.25
31122859123,-4.3125,64.8125,-53.3125
31122889998,3.125,73.9375,-48.5625
31122898214,10.625,82.25,-42.5625
31122919256,16.375,96.5,-33.875
31122937093,12.625,112.5,-24.8125
31122958248,1.9375,123.375,-12.8125
31122979289,-3.875,130.875,6.625
31122997180,-22.3125,137.125,29.1875
31123018153,-50.875,138.875,62.4375
31123046686,-70.875,137.938,106.125
31123057128,-89.3125,138.625,153.812
31123079562,-115.562,138.812,205.062
31123106776,-133.938,146.062,255.938
31123124599,-145.625,147.188,312.188
31123138251,-171.125,158.25,374.375
31123159283,-164.438,166.688,429.375
31123177847,-163.438,166.062,488.75
31123198218,-179.375,167.062,532.812
31123219176,-229.688,158.875,567.5
31123244582,-277.438,135.562,610.438
31123260153,-303.75,103.688,644.562
31123279213,-319.625,64.875,665.25
31123304741,-320.5,25.875,679.75
31123319682,-315.438,-14.125,687.688
31123339492,-279.188,-55.9375,693.75
31123362637,-226.25,-93,688.625
31123379006,-168.062,-128.438,676.312
31123401328,-85.0625,-169.625,654.688
31123430102,-30.75,-190.25,612.312
31123438884,-11.375,-181.312,555.375
31123461385,47.625,-158.062,485
31123489989,112.688,-117.688,405.375
31123498961,174.438,-73.125,325.312
31123521902,181.25,-31.1875,257.5
31123543951,160.688,-24.4375,200.938
31123566401,131.875,-19.5625,134.25
31123581777,119.625,-10.9375,73.25
31123610361,104.75,-5.5,17
31123628012,100.938,4.1875,-39.5625
31123641392,97,6.125,-87.4375
31123671334,77.8125,-2.75,-118.062
31123678202,51.5,-4.4375,-127.875
31123714893,56.8125,-0.0625,-128.062
31123724055,66.125,-2.75,-126.062
31123746863,54.8125,-7.5,-121.438
31123761380,36.8125,-11.375,-114.75
31123783873,28.875,-9,-109.375
31123813813,30.5625,-6.5625,-101.25
31123821314,31.8125,-4.125,-93.6875
31123843905,27.9375,1.125,-91
31123858225,24.375,6.6875,-91.25
31123888823,24.25,11.8125,-90.25
31123903974,25.6875,12.0625,-89.3125
31123918066,21.9375,11.8125,-86.9375
31123941418,23.6875,12.8125,-86.1875
31123963892,24.1875,11.9375,-86
