timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
31122187621,-5,0,-3,-6,-5,-24,-15,-6
31122187621,-3,1,-2,1,2,-7,5,-5
31122194631,-2,-3,-1,-3,-3,29,-1,-1
31122194631,1,2,-1,-1,-2,-10,-2,-3
31122196652,1,1,2,5,-6,0,4,2
31122196652,-5,-5,-3,1,4,-10,-3,-3
31122197352,8,-1,-5,-7,-8,-3,-7,2
31122197352,-2,-1,2,2,7,14,-6,0
31122225789,-1,-1,-1,-6,-1,0,9,2
31122225789,1,1,2,3,0,6,-10,-1
31122227346,1,0,-1,3,4,-11,10,-3
31122227346,-1,-2,-3,-3,0,0,6,-1
31122230723,-2,-4,-3,0,-1,-7,-14,-2
31122230723,-3,1,-2,-2,-4,4,-21,1
31122231560,-5,-2,0,-2,-1,-18,3,-4
31122231560,10,1,3,4,-4,3,1,2
31122269115,-2,0,-3,-1,1,1,20,2
31122269115,1,-2,-1,-4,-4,-6,-2,-3
31122269627,-8,0,3,5,-3,-4,-1,-3
31122269627,-2,0,-2,2,2,9,-9,-1
31122271381,-5,-4,-1,-7,0,7,5,-1
31122271381,14,5,1,1,-2,4,10,7
31122283200,-8,-1,-4,-8,-5,-7,-6,-5
31122283200,-5,-2,0,4,1,-6,7,0
31122284840,-1,1,2,3,7,16,-5,-3
31122284840,-6,-4,-2,-2,-7,-2,-1,-1
31122314386,3,0,-1,2,3,5,19,3
31122314386,3,-2,-2,-9,-6,1,-15,1
31122317304,0,0,-2,4,3,10,-7,-1
31122317304,-4,-3,0,-1,-5,4,4,-4
31122319492,0,-1,0,5,5,-5,-14,1
31122319492,-1,1,-3,-7,-5,-7,10,-3
31122330917,3,1,2,0,-2,-1,9,1
31122330917,-6,-4,0,-6,0,5,-5,-1
31122364261,-1,3,3,6,7,5,-4,-4
31122364261,-3,-3,-2,0,-2,-3,5,0
31122384521,2,-2,-2,-3,0,4,-17,-4
31122384521,0,1,-1,-5,-7,5,0,-5
31122395716,1,-1,1,1,2,-8,9,0
31122395716,-3,-1,-1,-1,-12,-11,-7,-1
31122412043,-3,-2,-2,-1,2,-7,1,-2
31122412043,-2,-3,-6,-11,-6,10,-1,-5
31122412624,10,4,4,10,2,-17,-5,2
31122412624,-4,-1,-4,2,-7,-3,1,-2
31122413488,-3,-3,0,-5,4,7,-3,0
31122413488,-1,-2,-3,-2,-8,-10,-10,-3
31122418122,-5,-4,-4,-7,7,-4,11,-3
